Factory Name,Factory Type,Product Type,"Nike, Inc. Brand(s)",Events,Supplier Group,Address,City,State,Add,Postal Code,Country/Region,Region,Total Workers,Line Workers,% Female Workers,% Migrant Workers,Lat,Lon,Status
"FENG TAY ENTERPRISE CO., LTD",FINISHED GOODS,FOOTWEAR,NIKE,,FENG TAY,"NO. 52 KEGONG 8TH RD.,",DOU LIOU,YUNLIN,"NO. 52 KEGONG 8TH RD.,, DOU LIOU, YUNLIN, Taiwan",640,Taiwan,N ASIA,1873,352,50.0%,0.0%,23.70701,120.38481,doubt
FIBRAN CIA. LTDA.,FINISHED GOODS,APPAREL,NIKE,,NO GROUP (AP),PANAMERICANA NORTE KM 5 1/2,QUITO,PICHINCHA,"PANAMERICANA NORTE KM 5 1/2, QUITO, PICHINCHA, ECUADOR",,ECUADOR,AMERICAS,738,664,61.0%,0.2%,-0.22985,-78.52495,doubt
FITA TEKSTIL KONF.LTD.STI,FINISHED GOODS,APPAREL,NIKE,,YESIM,PANAYIR MAH. SELVILI SK.,BURSA,BURSA,"PANAYIR MAH. SELVILI SK., BURSA, BURSA, TURKEY",16100,TURKEY,EMEA,448,407,75.0%,0.0%,40.19167,29.06111,doubt
"FJORD, LTD.",FINISHED GOODS,APPAREL,NIKE,,TEGRA,3099 N.PACIFIC HIGHWAY. SUITE 100,WOODBURN,OREGON,"3099 N.PACIFIC HIGHWAY. SUITE 100, WOODBURN, OREGON, United States of America",97071,United States of America,AMERICAS,116,78,88.0%,0.0%,45.145588,-122.853128,doubt
"FLEXTRONICS MANUFACTURING (ZHUHAI) CO, LTD",FINISHED GOODS,FOOTWEAR,NIKE,,FLEXTRONICS,XIN QING SCIENCE & TECHNOLOGY INDUSTRIAL PARK,ZHUHAI,GUANGDONG,"XIN QING SCIENCE & TECHNOLOGY INDUSTRIAL PARK, ZHUHAI, GUANGDONG, China Mainland",519180,China Mainland,N ASIA,3579,3008,45.0%,0.0%,36.087336,120.410636,doubt
FLOCKEREI S&R,FINISHED GOODS,APPAREL,NIKE,,FLOCKEREI,"NEUWEG 7, GOLDBACHER STR. 81, 74564 CRAILSHEIM",SATTELDORF - GRONINGEN,BADEN-WÜRTTEMBERG,"NEUWEG 7, GOLDBACHER STR. 81, 74564 CRAILSHEIM, SATTELDORF - GRONINGEN, BADEN-WÜRTTEMBERG, GERMANY",74589,GERMANY,EMEA,10,7,30.0%,0.0%,49.132241,10.077338,doubt
FOOTMARK CAMBODIA CORPORATION,FINISHED GOODS,APPAREL,NIKE,,FOOTMARK,"SANGKAT KANTOUK,  KHAN POSENCEY",PHNOM PENH,KANDAAL,"SANGKAT KANTOUK,  KHAN POSENCEY, PHNOM PENH, KANDAAL, CAMBODIA",,CAMBODIA,SE ASIA,160,150,70.0%,0.0%,11.56459,104.92767,doubt
FORMOSA INDONESIA COMPANY LTD.,FINISHED GOODS,EQUIPMENT,NIKE,,FORMOSA,JL. RAYA SEMARANG-PUWODADI KM. 26.5 GEBANGAN TEGOWANU,GROBOGAN,JAWA TENGAH,"JL. RAYA SEMARANG-PUWODADI KM. 26.5 GEBANGAN TEGOWANU, GROBOGAN, JAWA TENGAH, INDONESIA",58165,INDONESIA,S ASIA,2138,1597,87.0%,0.4%,-7.097407,110.644635,success
"FORMOSA TAFFETA CO., LTD",MATERIALS,MATERIALS,NIKE,,FORMOSA TAFFETA (FTC),317 SHU LIU RD.,TOULIU,,"317 SHU LIU RD., TOULIU, , Taiwan",640,Taiwan,N ASIA,,,0.0%,0.0%,23.699864,120.536499,doubt
"FORMOSA TAFFETA CO., LTD (CHINA)",MATERIALS,MATERIALS,NIKE,,FORMOSA TAFFETA (FTC),"NO.1 PENGHU ROAD, SOUTHEAST ECONOMY DEVELOPMENT ZONE",CHANGSHU,JIANGSU,"NO.1 PENGHU ROAD, SOUTHEAST ECONOMY DEVELOPMENT ZONE, CHANGSHU, JIANGSU, China Mainland",215500,China Mainland,N ASIA,,,0.0%,0.0%,32.030476,118.853892,doubt
"FORMOSA TAFFETA, CO LTD VIETNAM",MATERIALS,MATERIALS,NIKE,,FORMOSA TAFFETA (FTC),"SECTION 1, NHUT CHANH COM., BEN LUC DIST., LONG AN PROV.",BEN LUC,LONG AN,"SECTION 1, NHUT CHANH COM., BEN LUC DIST., LONG AN PROV., BEN LUC, LONG AN, Viet Nam",NA,Viet Nam,SE ASIA,,,0.0%,0.0%,37.682073,-122.461638,doubt
FRAMAS KOREA,FINISHED GOODS - COMPONENTS,FOOTWEAR,NIKE,,NO GROUP (FW),"120-2, UNYONG-RI, DOONPO-MYUN,",ASAN,CHOONGNAM,"120-2, UNYONG-RI, DOONPO-MYUN,, ASAN, CHOONGNAM, Korea (Republic of)",336-875,Korea (Republic of),N ASIA,46,,20.0%,0.0%,46.341702,10.867923,success
"FRAMAS KOREA VINA CO., LTD",FINISHED GOODS - COMPONENTS,FOOTWEAR,NIKE,,NO GROUP (FW),"WORKSHOP#1~5, LONGTHANH I.P, LONGTHANH DISTRICT",DONG NAI,_NG NAI,"WORKSHOP#1~5, LONGTHANH I.P, LONGTHANH DISTRICT, DONG NAI, _NG NAI, Viet Nam",815300,Viet Nam,SE ASIA,965,805,40.0%,0.0%,10.81413704,106.9171039,success
FREETREND VN INDUSTRIAL CO.LTD.,FINISHED GOODS,FOOTWEAR,NIKE,Collegiate,DEAN SHOES,"SAIGON LINH TRUNG EXPORT PROCESSING ZONE, THU DUC",HO CHI MINH,HO CHI MINH,"SAIGON LINH TRUNG EXPORT PROCESSING ZONE, THU DUC, HO CHI MINH, HO CHI MINH, Viet Nam",70000,Viet Nam,SE ASIA,17560,16446,87.0%,0.0%,10.860552,106.773337,doubt
FRONTLINE IMAGE LIMITED,FINISHED GOODS,APPAREL,NIKE,,NO GROUP (AP),"10, SISNA PARK ROAD, ESTOVER",PLYMOUTH,ENGLAND,"10, SISNA PARK ROAD, ESTOVER, PLYMOUTH, ENGLAND, United Kingdom of Great Britain and Northern Ireland",PL6 7FH,United Kingdom of Great Britain and Northern Ireland,EMEA,79,62,43.0%,8.1%,54.609675,-6.693536,doubt
FUJIAN FYNEX GARMENT LIMITED LIABILITY COMPANY - XIAMEN BRANCH,FINISHED GOODS,APPAREL,NIKE,,NO GROUP (AP),NO.175 JI AN ROAD TONGAN DISTRICT XIAMEN CITY,XIAMEN,FUJIAN,"NO.175 JI AN ROAD TONGAN DISTRICT XIAMEN CITY, XIAMEN, FUJIAN, China Mainland",361100,China Mainland,N ASIA,78,43,37.0%,0.0%,24.489959,118.026199,success
"FUJIAN LIFENG FOOTWEAR CO., LTD.",FINISHED GOODS,FOOTWEAR,NIKE,,FENG TAY,"NO.888# QINXI NORTH STREET, WUTANG TOWN",PUTIAN,FUJIAN,"NO.888# QINXI NORTH STREET, WUTANG TOWN, PUTIAN, FUJIAN, China Mainland",351119,China Mainland,N ASIA,4218,3726,75.0%,0.0%,49.902572,-97.137618,doubt
"FUJIAN SAN FENG FOOTWEAR CO.,LTD",FINISHED GOODS,FOOTWEAR,NIKE,,FENG TAY,"NO. 399, CHENGMEN STREET, CHENGMEN TOWN, CANGSHAN DISTRICTS",FUZHOU,FUJIAN,"NO. 399, CHENGMEN STREET, CHENGMEN TOWN, CANGSHAN DISTRICTS, FUZHOU, FUJIAN, China Mainland",350018,China Mainland,N ASIA,3203,2736,78.0%,0.0%,42.376203,-71.163948,doubt
