Factory Name,Factory Type,Product Type,"Nike, Inc. Brand(s)",Events,Supplier Group,Address,City,State,Add,Postal Code,Country/Region,Region,Total Workers,Line Workers,% Female Workers,% Migrant Workers,Lat,Lon,Status
KUO YUEN (VIETNAM),MATERIALS,MATERIALS,NIKE,,KUO YUEN,"KHU CONG  NGHEP, NHON TRACH 3",NHON TRACH DISTRICT,DONG NAI,"KHU CONG  NGHEP, NHON TRACH 3, NHON TRACH DISTRICT, DONG NAI, Viet Nam",0,Viet Nam,SE ASIA,,,0.0%,0.0%,10.740125,106.790537,doubt
"KWAN TAT VIETNAM CO., LTD",FINISHED GOODS,APPAREL,NIKE,Collegiate,TUNG MUNG,"BINH THUAN HAMLET, THUAN GIAO WARD, THUAN AN TOWN.",BÌNH D__NG,BÌNH DUONG,"BINH THUAN HAMLET, THUAN GIAO WARD, THUAN AN TOWN., BÌNH D__NG, BÌNH DUONG, Viet Nam",75211,Viet Nam,SE ASIA,116,85,86.0%,11.8%,10.917686,108.084748,doubt
LATITUDES,FINISHED GOODS,APPAREL,NIKE,,TEGRA,2425 NE RIVERSIDE WAY,PORTLAND,OREGON,"2425 NE RIVERSIDE WAY, PORTLAND, OREGON, United States of America",97211,United States of America,AMERICAS,60,42,57.0%,90.5%,45.581715,-122.639132,success
LEADING STAR VIETNAM GARMENT COMPANY LIMITED,FINISHED GOODS,APPAREL,"NIKE, Converse",,LEADING STAR,"LOT C, ROAD NO. 3, DONG AN INDUSTRIAL PARK, BINH HOA WARD",THUAN AN CITY,BÌNH DUONG,"LOT C, ROAD NO. 3, DONG AN INDUSTRIAL PARK, BINH HOA WARD, THUAN AN CITY, BÌNH DUONG, Viet Nam",820000,Viet Nam,SE ASIA,2837,2236,77.0%,0.0%,10.939291,106.70956,doubt
LEAGUE OPTICAL CENTER,FINISHED GOODS,EQUIPMENT,NIKE,,NO GROUP (AP),"NO. 24, XIAOLANGHUAN ROAD, SANXIANG TOWN",ZHONGSHAN ,GUANGDONG,"NO. 24, XIAOLANGHUAN ROAD, SANXIANG TOWN, ZHONGSHAN , GUANGDONG, China Mainland",528463,China Mainland,N ASIA,42,38,39.0%,0.0%,-41.444364,146.245533,doubt
"LEOTEX TEXTILE, S.A. DE C.V.",FINISHED GOODS,APPAREL,NIKE,,JOWETT,BLVD. C.T.M. S/N,CD. OBREGON,SONORA,"BLVD. C.T.M. S/N, CD. OBREGON, SONORA, MEXICO",85097,MEXICO,AMERICAS,434,420,85.0%,9.3%,27.484654,-109.935961,doubt
LES VETEMENTS SP APPAREL INC.,FINISHED GOODS,APPAREL,NIKE,,SP APPAREL,1237 BOULEVARD INDUSTRIEL,GRANBY,QUEBEC,"1237 BOULEVARD INDUSTRIEL, GRANBY, QUEBEC, CANADA",J2J 2B8,CANADA,AMERICAS,117,77,90.0%,14.3%,45.379109,-72.771136,doubt
"LI CHENG ENTERPRISE CO.,LTD",FINISHED GOODS - COMPONENTS,FOOTWEAR,NIKE,,NO GROUP (FW),"NO.5 DOU-KUNG 12 ROAD.,DOU-LIU CITY,",YUN-LIN HSIEN,,"NO.5 DOU-KUNG 12 ROAD.,DOU-LIU CITY,, YUN-LIN HSIEN, , Taiwan",,Taiwan,N ASIA,492,346,39.0%,26.6%,23.798532,120.955426,doubt
LIM GROUP SRL,FINISHED GOODS,FOOTWEAR,Converse,,LIM,VIA FRASSENARA N. 21,MONTAGNANA,VENETO,"VIA FRASSENARA N. 21, MONTAGNANA, VENETO, ITALY",,ITALY,EMEA,26,19,25.0%,0.0%,45.232509,11.464484,doubt
LION BROTHERS FAR EAST,FINISHED GOODS - COMPONENTS,APPAREL,NIKE,,LION BROTHERS,"NO. 62, UPPER NORTH LANE 4, SHANGNAN INDUSTRIAL ZONE",BAOAN,GUANGDONG,"NO. 62, UPPER NORTH LANE 4, SHANGNAN INDUSTRIAL ZONE, BAOAN, GUANGDONG, China Mainland",518125,China Mainland,N ASIA,420,168,59.0%,0.0%,-35.014543,138.694367,doubt
LOGO CAPITAL,FINISHED GOODS,APPAREL,NIKE,,NO GROUP (AP),3925 WHEELER AVENUE,ALEXANDRIA,VIRGINIA,"3925 WHEELER AVENUE, ALEXANDRIA, VIRGINIA, United States of America",22304,United States of America,AMERICAS,24,19,33.0%,0.0%,38.807876,-77.098389,success
LONG AN EXPORT GARMENT JOINT STOCK COMPANY LASGE,FINISHED GOODS,APPAREL,NIKE,,UNITED SWEETHEART,"1ST NATIONAL ROAD, 4TH QUARTER",TAN AN,LONG AN,"1ST NATIONAL ROAD, 4TH QUARTER, TAN AN, LONG AN, Viet Nam",84-72,Viet Nam,SE ASIA,915,700,70.0%,0.0%,10.53333,106.41667,doubt
LONG CHUAN SIMONA FOOTWEAR CO. LTD,FINISHED GOODS,FOOTWEAR,NIKE,,STELLA,XIN CHENG LONG CHUAN,HEYUAN,GUANGDONG,"XIN CHENG LONG CHUAN, HEYUAN, GUANGDONG, China Mainland",517300,China Mainland,N ASIA,5366,4525,76.0%,0.0%,31.218385,121.449432,doubt
"LONG FA SHOES INDUSTRIAL HUIZHOU CO., LTD.",FINISHED GOODS,FOOTWEAR,NIKE,Collegiate,DEAN SHOES,"LONGTING INDUS. PARK, LONGXI TOWN, BOLUO COUNTY",HUIZHOU,GUANGDONG,"LONGTING INDUS. PARK, LONGXI TOWN, BOLUO COUNTY, HUIZHOU, GUANGDONG, China Mainland",516121,China Mainland,N ASIA,8438,4938,52.0%,0.0%,31.411875,119.476344,success
"LONG YUE SHOES INDUSTRIAL HUI ZHOU CO.,LTD.",FINISHED GOODS - COMPONENTS,FOOTWEAR,NIKE,,DEAN SHOES,"LONGTING INDUSTRIAL ZONE, LONGXI TOWN, BOLUO COUNTY",HUIZHOU,GUANGDONG,"LONGTING INDUSTRIAL ZONE, LONGXI TOWN, BOLUO COUNTY, HUIZHOU, GUANGDONG, China Mainland",516000,China Mainland,N ASIA,3930,3120,65.0%,0.0%,31.411875,119.476344,doubt
"LONGCHUAN SOMONA FOOTWEAR CO.,LTD WUHUA BRANCH",FINISHED GOODS - COMPONENTS,FOOTWEAR,NIKE,,STELLA,SHUIZHAI INDUSTRY GARDEN,MEIZHOU,GUANGDONG,"SHUIZHAI INDUSTRY GARDEN, MEIZHOU, GUANGDONG, China Mainland",514400,China Mainland,N ASIA,882,820,96.0%,0.0%,6.03333,80.21667,doubt
LONGWAY VIETNAM COMPANY LIMITED,FINISHED GOODS,EQUIPMENT,NIKE,,LONGWAY,LOT HC1 ROUTE 3 XUYEN A INDUSTRIAL ZONE,DUC HOA,LONG AN,"LOT HC1 ROUTE 3 XUYEN A INDUSTRIAL ZONE, DUC HOA, LONG AN, Viet Nam",863900,Viet Nam,SE ASIA,1100,815,80.0%,0.0%,10.887753,106.409375,doubt
LOTUS FOOTWEAR ENTERPRISES LIMITED UNIT-2,FINISHED GOODS,FOOTWEAR,NIKE,,FENG TAY,"PLOT 3C, SIPCOT INDUSTRIAL PARK, MATHUR MANGAL VILLIAGE, CHEYYAR TALUK",NEAR KANCHIPURAM,TAMIL NADU,"PLOT 3C, SIPCOT INDUSTRIAL PARK, MATHUR MANGAL VILLIAGE, CHEYYAR TALUK, NEAR KANCHIPURAM, TAMIL NADU, INDIA",631701,INDIA,S ASIA,5930,4556,52.0%,0.0%,23.085536,72.64897,doubt
LOTUS FOOTWEAR ENTERPRISES LTD. (INDIA BRANCH) - UNIT 1,FINISHED GOODS,FOOTWEAR,NIKE,,FENG TAY,"PLOT 3B, SIPCOTINDUSTRIAL PARK,",VEMBAKKAM TALUK,TAMIL NADU,"PLOT 3B, SIPCOTINDUSTRIAL PARK,, VEMBAKKAM TALUK, TAMIL NADU, INDIA",PIN 631701,INDIA,S ASIA,3255,2478,65.0%,0.0%,13.020658,80.200578,doubt
LYNKA SP. Z O.O.,FINISHED GOODS,APPAREL,NIKE,,LYNKA,MAJDZIKA 16,SKAWINA,MALOPOLSKIE,"MAJDZIKA 16, SKAWINA, MALOPOLSKIE, POLAND",32-050,POLAND,EMEA,329,200,60.0%,0.0%,49.976842,19.813702,doubt
M/S STYLE TEXTILE (PVT.) LIMITED (SUNDER) - UNIT VI,FINISHED GOODS,APPAREL,NIKE,,STYLE TEXTILE,PLOT NO.143-146 & 151-155,LAHORE,PUNJAB,"PLOT NO.143-146 & 151-155, LAHORE, PUNJAB, Pakistan",54700,Pakistan,S ASIA,5608,4792,16.0%,0.0%,24.816293,67.029643,success
MAJESTIC ATHLETIC,FINISHED GOODS,APPAREL,NIKE,,NO GROUP (AP),2320 NEWLINS MILL RD,EASTON,PENNSYLVANIA,"2320 NEWLINS MILL RD, EASTON, PENNSYLVANIA, United States of America",18045,United States of America,AMERICAS,430,340,55.0%,0.0%,40.688529,-75.216985,doubt
MANUFACTURAS KALTEX,FINISHED GOODS,APPAREL,Converse,,NO GROUP (AP),RANCHO LOS MEJIA S/N,SANTIAGO DE QUERÉTARO,MÉXICO,"RANCHO LOS MEJIA S/N, SANTIAGO DE QUERÉTARO, MÉXICO, MEXICO",76800,MEXICO,AMERICAS,1365,1355,1.0%,0.1%,20.604813,-100.406992,doubt
"MANUFACTURE OF ARTISTIC BELT & ACCESSORIES CO., LTD.",FINISHED GOODS,EQUIPMENT,NIKE,,NO GROUP (AP),"FACTORY 7, DE1B & DE1 ST., MY PHUOC 3 INDUSTRIAL PARK,",BEN CAT TOWN,BÌNH DUONG,"FACTORY 7, DE1B & DE1 ST., MY PHUOC 3 INDUSTRIAL PARK,, BEN CAT TOWN, BÌNH DUONG, Viet Nam",82575,Viet Nam,SE ASIA,21,16,63.0%,0.0%,38.696947,-75.073948,doubt
MAPLE COMPANY LIMITED,FINISHED GOODS,APPAREL,NIKE,,TAI WAH,"NO. 120, ROAD NO.14, VSIP HAI PHONG TOWNSHIP,",HAI PHONG CITY,HAI PHONG,"NO. 120, ROAD NO.14, VSIP HAI PHONG TOWNSHIP,, HAI PHONG CITY, HAI PHONG, Viet Nam",4000,Viet Nam,SE ASIA,894,785,75.0%,0.0%,20.85611,106.68222,doubt
MARCHON ITALIA SRL A SU,FINISHED GOODS,EQUIPMENT,NIKE,,NO GROUP (EQ),V.LE ALPAGO 151,ALPAGO,BELLUNO,"V.LE ALPAGO 151, ALPAGO, BELLUNO, ITALY",32016,ITALY,EMEA,303,157,62.0%,0.0%,46.351421,12.115861,doubt
MAS  KREEDA MIHINTALE,FINISHED GOODS,APPAREL,NIKE,,MAS HOLDINGS,ISURU UYANA,MIHINTALE,ANURADHAPURA,"ISURU UYANA, MIHINTALE, ANURADHAPURA, SRI LANKA",50300,SRI LANKA,S ASIA,1134,680,83.0%,0.0%,8.340481,80.520478,doubt
MAS ACTIVE PVT LTD - CONTOURLINE DIVISION,FINISHED GOODS,APPAREL,NIKE,,MAS HOLDINGS,NO 231 NAWALA ROAD,NUGEGODA,KANDY,"NO 231 NAWALA ROAD, NUGEGODA, KANDY, SRI LANKA",0,SRI LANKA,S ASIA,1660,1300,76.0%,0.0%,7.262114,80.639504,doubt
MAS ACTIVE PVT. LTD - SYNERGY,FINISHED GOODS,APPAREL,NIKE,Collegiate,MAS HOLDINGS,"A3, SEETHAWAKA EXPORT PROCESSING ZONE",AVISSAWELLA,COLOMBO,"A3, SEETHAWAKA EXPORT PROCESSING ZONE, AVISSAWELLA, COLOMBO, SRI LANKA",10700,SRI LANKA,S ASIA,2159,1492,89.0%,0.0%,44.532818,26.16925,doubt
MAS ACTIVE TRADING PVT LTD - LINEA INTIMO,FINISHED GOODS,APPAREL,NIKE,,MAS HOLDINGS,"LOT 49, 58, 59 BEPZ",COLOMBO,COLOMBO,"LOT 49, 58, 59 BEPZ, COLOMBO, COLOMBO, SRI LANKA",42000,SRI LANKA,S ASIA,680,679,41.0%,0.0%,6.93194,79.84778,doubt
MAS ACTIVE TRADING PVT LTD - VAANAVIL DIVISION,FINISHED GOODS,APPAREL,NIKE,,MAS HOLDINGS,"PLOT NO 2, AGRICULTURE FACULTY ROAD",COLOMBO,COLOMBO,"PLOT NO 2, AGRICULTURE FACULTY ROAD, COLOMBO, COLOMBO, SRI LANKA",42000,SRI LANKA,S ASIA,1761,1275,80.0%,0.0%,6.93194,79.84778,doubt
MAS FABRICS (PVT.) LTD - MATRIX,FINISHED GOODS - COMPONENTS,FOOTWEAR,NIKE,,MAS HOLDINGS,MAS FABRIC PARK,THULHIRIYA,KURUNEGALA,"MAS FABRIC PARK, THULHIRIYA, KURUNEGALA, SRI LANKA",71610,SRI LANKA,S ASIA,2012,1016,50.0%,0.0%,7.211335,79.841251,doubt
MAS FABRICS PVT LTD - METHLIYA,FINISHED GOODS,APPAREL,NIKE,Collegiate,MAS HOLDINGS,MAS FABRIC PARK,KEGALLE,,"MAS FABRIC PARK, KEGALLE, , SRI LANKA",71000,SRI LANKA,S ASIA,2003,1356,94.0%,0.0%,7.211335,79.841251,doubt
MATIA,FINISHED GOODS,APPAREL,NIKE,,DIOR,"VIA MEGOLO, 24",ANZOLA DOSSOLA,VERBANO-CUSIO-OSSO,"VIA MEGOLO, 24, ANZOLA DOSSOLA, VERBANO-CUSIO-OSSO, ITALY",28877,ITALY,EMEA,127,100,69.0%,0.0%,45.98861,8.34473,doubt
MATSUDA BABY SANGYO,FINISHED GOODS,EQUIPMENT,NIKE,,NO GROUP (EQ),"82-2,TERADA-CHO",KASHIHARA,NARA,"82-2,TERADA-CHO, KASHIHARA, NARA, JAPAN",634-0817,JAPAN,N ASIA,23,22,74.0%,40.9%,34.502832,135.788953,doubt
MAXPORT  LIMITED (VIET NAM) _ THAI BINH BRANCH ( MAXPORT 09),FINISHED GOODS,APPAREL,NIKE,,MAXPORT,"LOT WITH AREA OF 110,238.8M2",HANOI,THÁI BÌNH,"LOT WITH AREA OF 110,238.8M2, HANOI, THÁI BÌNH, Viet Nam",410000,Viet Nam,SE ASIA,3042,1935,75.0%,0.0%,50.461404,4.841769,success
MAXPORT LIMITED VIET NAM _ NAM DINH BRANCH MAXPORT 06,FINISHED GOODS,APPAREL,NIKE,,NO GROUP (AP),NO 361 NGUYEN VAN TROI,NAM DINH,NAM _NH,"NO 361 NGUYEN VAN TROI, NAM DINH, NAM _NH, Viet Nam",42000,Viet Nam,SE ASIA,525,473,1.0%,0.2%,20.222729,106.257752,doubt
MAXPORT LIMITED VIET NAM NAM DINH BRANCH MAXPORT 05,FINISHED GOODS,APPAREL,NIKE,,MAXPORT,"LOT NO.85 , MAP NO.44",NAM DINH,NAM _NH,"LOT NO.85 , MAP NO.44, NAM DINH, NAM _NH, Viet Nam",42000,Viet Nam,SE ASIA,1504,1336,76.0%,0.0%,21.732568,105.396672,doubt
MAZEN (JIANG MEN)INDUSTRIES LIMITED,FINISHED GOODS,EQUIPMENT,Converse,,MAZEN,"FLOOR 1-2, ZONE 211-A ",JIANGMEN,GUANGDONG,"FLOOR 1-2, ZONE 211-A , JIANGMEN, GUANGDONG, China Mainland",529100,China Mainland,N ASIA,233,127,20.0%,90.6%,27.471557,-81.431421,success
"MEN-CHUEN FIBRE INDUSTRY CO., LTD. (VIETNAM)",MATERIALS,MATERIALS,NIKE,,MEN CHUEN,"LOT 4, 7A ROAD,NHON TRACH INDUSTRIAL 2, NHON TRACH DISTRICT, DONG NAI PROVINCE",BIEN HOA,DONG NAI,"LOT 4, 7A ROAD,NHON TRACH INDUSTRIAL 2, NHON TRACH DISTRICT, DONG NAI PROVINCE, BIEN HOA, DONG NAI, Viet Nam",NA,Viet Nam,SE ASIA,,,0.0%,0.0%,-38.027535,145.221129,doubt
MILTEKS TEKSTIL SANAYI VE TICARET A S,FINISHED GOODS,APPAREL,NIKE,,MILTEKS,BAKSAV,BEYLIKDUZU,ISTANBUL,"BAKSAV, BEYLIKDUZU, ISTANBUL, TURKEY",34520,TURKEY,EMEA,176,95,38.0%,0.0%,70.217995,28.49195,doubt
MILTEKS TEKSTIL SANAYI VE TICARET A.S. AJARA TEXTILE LTD,FINISHED GOODS,APPAREL,NIKE,,MILTEKS,3 TBETI STREET,BATUMI,AJARIA,"3 TBETI STREET, BATUMI, AJARIA, GEORGIA",6000,GEORGIA,EMEA,608,481,97.0%,0.0%,41.64159,41.63593,doubt
"MINONE ENTERPRISES CO., LTD.",FINISHED GOODS,EQUIPMENT,NIKE,,NO GROUP (EQ),253 MOO.6 NONGBOT SUB-DISTRICT,NANGRONG,BURI RAM,"253 MOO.6 NONGBOT SUB-DISTRICT, NANGRONG, BURI RAM, THAILAND",31110,THAILAND,SE ASIA,504,363,66.0%,1.9%,14.635273,102.875915,doubt
NAM DINH STELLA FOOTWEAR CO. LTD.,FINISHED GOODS,FOOTWEAR,NIKE,,STELLA,"DONG KY VILLAGE, NGHIA MINH WARD, NGHIA HUNG DISTRIC",NAM D_NH,NAM _NH,"DONG KY VILLAGE, NGHIA MINH WARD, NGHIA HUNG DISTRIC, NAM D_NH, NAM _NH, Viet Nam",420000,Viet Nam,SE ASIA,8255,7790,76.0%,1.4%,20.429227,106.180372,doubt
NAM THIEN COMPANY LIMITED,FINISHED GOODS,APPAREL,NIKE,,SOUTH ISLAND,"LOT IV, NO 13, NO 4 STREET, TAN BINH INDUSTRIAL ZONE",HO CHI MINH,HO CHI MINH,"LOT IV, NO 13, NO 4 STREET, TAN BINH INDUSTRIAL ZONE, HO CHI MINH, HO CHI MINH, Viet Nam",700000,Viet Nam,SE ASIA,636,540,75.0%,0.0%,19.754781,96.201476,doubt
NAN YANG GARMENT,FINISHED GOODS,APPAREL,NIKE,,NAN YANG,"37 MOO 5, LADYAO - BANRAI RD.","LADYAO, NAKHONSAWAN",NAKHON SAWAN,"37 MOO 5, LADYAO - BANRAI RD., LADYAO, NAKHONSAWAN, NAKHON SAWAN, THAILAND",60150,THAILAND,SE ASIA,1421,1126,74.0%,25.4%,15.619698,100.351011,doubt
"NAN YANG GARMENT CO., LTD.",FINISHED GOODS,APPAREL,NIKE,,NAN YANG,27 PHETKASEM RD.,NONGKHAM,BANGKOK,"27 PHETKASEM RD., NONGKHAM, BANGKOK, THAILAND",10160,THAILAND,SE ASIA,1007,716,75.0%,64.0%,13.881591,100.644533,doubt
"NAN YANG GARMENT CO., LTD.",FINISHED GOODS,APPAREL,NIKE,,NAN YANG,"99/1, MOO 4, BANNA",WACHIRABARAMEE,PHICHIT,"99/1, MOO 4, BANNA, WACHIRABARAMEE, PHICHIT, THAILAND",66140,THAILAND,SE ASIA,2608,2196,79.0%,0.0%,16.230255,100.364815,doubt
"NAN YANG GARMENT CO.,LTD",FINISHED GOODS,APPAREL,NIKE,,NAN YANG,"166, 168, 170, 172 MOO 1, PHETKASEM RD.,YAICHA",SAMPRAN,NAKHON PATHOM,"166, 168, 170, 172 MOO 1, PHETKASEM RD.,YAICHA, SAMPRAN, NAKHON PATHOM, THAILAND",73110,THAILAND,SE ASIA,12711,12421,65.0%,5.6%,13.718648,100.258475,doubt
NAN YANG KNITTING FACTORY,MATERIALS,MATERIALS,NIKE,,NAN YANG,"19 MOO 5 SETAKIT 1 ROAD, T. TAMAI",KRATUMBAN,BANGKOK METROPOLIS,"19 MOO 5 SETAKIT 1 ROAD, T. TAMAI, KRATUMBAN, BANGKOK METROPOLIS, THAILAND",74110,THAILAND,SE ASIA,,,0.0%,0.0%,13.753688,100.502514,doubt
NATIONAL EMBLEM WANG CHU EMBROIDERY CO.,FINISHED GOODS - COMPONENTS,APPAREL,NIKE,,NATIONAL EMBLEM,5F. NO.3. ALY 11 LN. 327,NEW TAIPEI CITY,NEW TAIPEI,"5F. NO.3. ALY 11 LN. 327, NEW TAIPEI CITY, NEW TAIPEI, Taiwan",Zhonge District,Taiwan,N ASIA,13,10,85.0%,30.0%,24.867046,121.531676,doubt
NEW HOLLAND APPAREL DE NICARAGUA S A,FINISHED GOODS,APPAREL,NIKE,,TEGRA,"PARQUE INDUSTRIAL ASTRO NICARAGUA, MODULO 2",MANAGUA,MANAGUA,"PARQUE INDUSTRIAL ASTRO NICARAGUA, MODULO 2, MANAGUA, MANAGUA, NICARAGUA",0,NICARAGUA,AMERICAS,1813,1511,51.0%,0.5%,12.178406,-86.350567,success
NICE APPAREL COMPANY LIMITED,FINISHED GOODS,APPAREL,NIKE,,NICE APPAREL,"500 SOI NGARMWONGWAN 25, TUMBON BANGKHEN",MUANG DISTRICT,NONTHABURI,"500 SOI NGARMWONGWAN 25, TUMBON BANGKHEN, MUANG DISTRICT, NONTHABURI, THAILAND",11000,THAILAND,SE ASIA,1224,1095,72.0%,21.9%,13.836778,100.469659,success
NICE APPAREL COMPANY LIMITED BRANCH CHUMPHAE,FINISHED GOODS,APPAREL,NIKE,,NICE APPAREL,"219 MOO 2 MALIWAN ROAD, T. NON-UDOM",CHUMPAE,BANGKOK,"219 MOO 2 MALIWAN ROAD, T. NON-UDOM, CHUMPAE, BANGKOK, THAILAND",40130,THAILAND,SE ASIA,4164,3722,67.0%,0.0%,13.881591,100.644533,doubt
NICE APPAREL COMPANY LIMITED BRANCH NONGBUALAMPHU,FINISHED GOODS,APPAREL,NIKE,,NICE APPAREL,"183 MOO 8, AMPUR MUANG, NONGBUALAMPHU",NONGBUALAMPOO,,"183 MOO 8, AMPUR MUANG, NONGBUALAMPHU, NONGBUALAMPOO, , THAILAND",39000,THAILAND,SE ASIA,1672,1621,70.0%,0.0%,15.512883,101.301707,doubt
"NICE BAG HUAI AN INTERNATIONAL IND CO.,LTD",FINISHED GOODS,EQUIPMENT,NIKE,,GUANG DER,"NO.2-1, HONGSHENG ROAD ECONOMIC DEVELOPMENT ZONE ",HUAI AN CITY,JIANGSU,"NO.2-1, HONGSHENG ROAD ECONOMIC DEVELOPMENT ZONE , HUAI AN CITY, JIANGSU, China Mainland",223005,China Mainland,N ASIA,670,556,95.0%,0.0%,47.93541,37.63676,doubt
NINGBO BELL GARMENT INDUSTRIAL CO. LTD,FINISHED GOODS,APPAREL,NIKE,,NO GROUP (AP),"NO 422, JIANGHU ROAD, JIANGBEI INVESTMENT ZONE C",NINGBO,ZHEJIANG,"NO 422, JIANGHU ROAD, JIANGBEI INVESTMENT ZONE C, NINGBO, ZHEJIANG, China Mainland",315033,China Mainland,N ASIA,88,73,72.0%,0.0%,39.065192,-108.582758,doubt
NINGBO EASTEX,FINISHED GOODS,APPAREL,NIKE,,NO GROUP (AP),"NO. 218, SHUN TAI ROAD, ZHENHAI DISTRICT",NINGBO,ZHEJIANG,"NO. 218, SHUN TAI ROAD, ZHENHAI DISTRICT, NINGBO, ZHEJIANG, China Mainland",32151,China Mainland,N ASIA,298,205,70.0%,0.0%,-43.621229,172.557332,doubt
"NINGBO HUAYAO TEXTILE CO.,LTD",FINISHED GOODS,APPAREL,NIKE,,NO GROUP (AP),NO.888 TINHAI ROAD CHUNXIAO INDUSTRIAL ZONE,NINGBO,ZHEJIANG,"NO.888 TINHAI ROAD CHUNXIAO INDUSTRIAL ZONE, NINGBO, ZHEJIANG, China Mainland",315800,China Mainland,N ASIA,894,729,84.0%,0.0%,31.206942,121.579467,success
"NINGBO MITSUBANA APPERAL CO., LTD",FINISHED GOODS,APPAREL,Converse,,NINGBO MITSUBANA,"NO.1278 ZHENLUO  ROAD E, ZHENHAI",NINGBO,ZHEJIANG,"NO.1278 ZHENLUO  ROAD E, ZHENHAI, NINGBO, ZHEJIANG, China Mainland",315207,China Mainland,N ASIA,69,52,83.0%,0.0%,29.810398,121.564513,doubt
NINGBO SHENZHOU KNITTING CO. LTD,FINISHED GOODS,APPAREL,NIKE,,NINGBO,50 TIANMUSHAN ROAD,NINGBO,ZHEJIANG,"50 TIANMUSHAN ROAD, NINGBO, ZHEJIANG, China Mainland",315800,China Mainland,N ASIA,2890,2661,65.0%,0.0%,44.359278,-69.502398,doubt
NINGBO SHENZHOU KNITTING CO. LTD. -#6 GARMENT FACTORY,FINISHED GOODS,APPAREL,NIKE,,NINGBO,INTERSECTION OF DAGANG ROAD 5TH ROAD & FENGYANG 3RD ROAD,NINGBO,ZHEJIANG,"INTERSECTION OF DAGANG ROAD 5TH ROAD & FENGYANG 3RD ROAD, NINGBO, ZHEJIANG, China Mainland",315800,China Mainland,N ASIA,2490,2295,70.0%,0.0%,30.897952,121.006698,doubt
NINGBO SHENZHOU KNITTING CO. LTD. (PRINTING MILL & MC),FINISHED GOODS,APPAREL,NIKE,,NINGBO,"NO.636 FUCHUNJIANG ROAD , BELIN DISTRICT ",NINGBO,ZHEJIANG,"NO.636 FUCHUNJIANG ROAD , BELIN DISTRICT , NINGBO, ZHEJIANG, China Mainland",315800,China Mainland,N ASIA,365,343,52.0%,0.0%,29.876427,121.592676,doubt
"NINGBO SHENZHOU KNITTING CO., LTD",MATERIALS,MATERIALS,NIKE,,NINGBO,NO.18 YONGJIANG ROAD ECONOMIC TECHNICAL DEVELOPMENT ZONE,NINGBO,ZHEJIANG,"NO.18 YONGJIANG ROAD ECONOMIC TECHNICAL DEVELOPMENT ZONE, NINGBO, ZHEJIANG, China Mainland",315800,China Mainland,N ASIA,,,0.0%,0.0%,29.877462,121.557239,success
"NINGBO SHENZHOU KNITTING CO.,LTD #3 GARMENT FACTORY",FINISHED GOODS,APPAREL,NIKE,Collegiate,NINGBO,NO. 26 FENGYANG SECOND ROAD ,NINGBO,ZHEJIANG,"NO. 26 FENGYANG SECOND ROAD , NINGBO, ZHEJIANG, China Mainland",315800,China Mainland,N ASIA,2506,2256,55.0%,0.0%,44.385452,-69.525735,doubt
NK APPAREL CO LTD,FINISHED GOODS,APPAREL,NIKE,,NICE APPAREL,"369 MOO 4 MANJAKIRI ROAD, AMPUR MUANG, KHON KAEN",KHON KAEN,,"369 MOO 4 MANJAKIRI ROAD, AMPUR MUANG, KHON KAEN, KHON KAEN, , THAILAND",40000,THAILAND,SE ASIA,1391,1146,70.0%,0.0%,16.43967,102.81935,doubt
NV APPAREL COMPANY LIMITED,FINISHED GOODS,APPAREL,NIKE,,NICE APPAREL,LOT C1 BINH HOA INDUSTRIAL ZONE,AN GIANG,AN GIANG,"LOT C1 BINH HOA INDUSTRIAL ZONE, AN GIANG, AN GIANG, Viet Nam",880000,Viet Nam,SE ASIA,2737,2662,80.0%,1.2%,10.455534,105.344923,doubt
"NYG (VIETNAM) CO.,LTD",FINISHED GOODS,APPAREL,NIKE,,NAN YANG,LOT C LONG KHANH INDUSTRIAL ZONE,LONG KHANH ,_NG NAI,"LOT C LONG KHANH INDUSTRIAL ZONE, LONG KHANH , _NG NAI, Viet Nam",810000,Viet Nam,SE ASIA,1420,1037,75.0%,2.1%,10.92345,107.239303,doubt
"OLIVE APPAREL CAMBODIA CO., LTD",FINISHED GOODS,APPAREL,NIKE,,TAI WAH,"NATIONAL ROAD NO. 3, PHUM PREY KAMBOT",PHNOM PENH,PHNOM PENH,"NATIONAL ROAD NO. 3, PHUM PREY KAMBOT, PHNOM PENH, PHNOM PENH, CAMBODIA",12405,CAMBODIA,SE ASIA,2886,2622,88.0%,0.0%,11.56245,104.91601,doubt
"OPTECH CO., LTD.",FINISHED GOODS,APPAREL,NIKE,,NO GROUP (AP),"134/6 MOO 7 SAUN LUANG, KRATUMBAN",SAMUTSAKORN,SAMUT SAKHON,"134/6 MOO 7 SAUN LUANG, KRATUMBAN, SAMUTSAKORN, SAMUT SAKHON, THAILAND",74110,THAILAND,SE ASIA,87,74,69.0%,0.0%,13.536061,100.220692,doubt
"OREGON SCREEN IMPRESSIONS, INC.",FINISHED GOODS,APPAREL,NIKE,,OREGON SCREEN IMPRESSIONS,3580 NE BROADWAY,PORTLAND,OREGON,"3580 NE BROADWAY, PORTLAND, OREGON, United States of America",97232,United States of America,AMERICAS,130,64,52.0%,0.0%,45.534729,-122.626353,success
